name,taxId,contactName,phone,email,notes
印尼人民銀行台北分行,,簡均亦,2721-6330,,來源:113; 原始列:3
星宇航空股份有限公司,,張銘祥  / 蔡家瑜,2791-1000,,來源:113; 原始列:4
臺北中山南京東國際商務(股)公司 (雷格斯企業),,Linda,7742-6200 / 7742-6253,,來源:113; 原始列:5
日商丹下都市建築設計(股)公司台北辦事處,,陳小姐,6608-9169,,來源:113; 原始列:7
日商全日本空輸(股)公司台灣分公司,,游宏如's,2751-3758,,來源:113; 原始列:8
西氏亞洲有限公司(威法),,古小姐(財務) / 梁淑萍(經理),04-2284-2520 / 2173-8000,,來源:113; 原始列:9
台灣鎧俠股份有限公司,,林婉真 / 楊淳喻,2508-9909,,來源:113; 原始列:10
台灣東芝電子零組件(股)公司,,李宜倫(副理) / 黃昭雄(協理),2508-9988,,來源:113; 原始列:11
海科科技有限公司,,劉瑋慈,6603-9520,,來源:113; 原始列:13
美祿科技(股)公司,,李怡亭,037-582-728,,來源:113; 原始列:16
掌中乾坤網路科技(股)公司 創連科技有限公司,,莊宏義,8771-9998,,來源:113; 原始列:17
海龍二號、三號風電(股)公司,,初小姐Nikki,2773-0588,,來源:113; 原始列:18
運達航運股份有限公司,,吳嘉敏 / 陳郁雯,2567-2833,,來源:113; 原始列:19
幻想娛樂科技(股)公司,,王靜美,7723-9886,,來源:113; 原始列:20
台灣愛麗思歐雅瑪(股)公司,,黃怡靜,8772-2773,,來源:113; 原始列:21
數智聚科技股份有限公司,,蘇栴,2731-5900,,來源:113; 原始列:23
美商虹軟科技(股)公司台灣分公司,,李婷婷 / 陳政陽,2731-1518,,來源:113; 原始列:24
香港商勵盈國際(股)公司台灣分公司,,丘瑾璇,02-2731-7876,,來源:113; 原始列:25
飛瑞旅行社(股)公司,,邱志敏,飛瑞: 8161-3415 / 飛達: 8161-3454,,來源:113; 原始列:26
三井物產綠電股份有限公司,,林姿君,,,來源:113; 原始列:27
智行數位行銷有限公司,,許小姐(窗口),8772-9565,,來源:113; 原始列:28
藝啟股份有限公司,,,,,來源:113; 原始列:29
大陸商廈門航空有限公司台灣分公司,,周鵬宇,2711-5166,,來源:113; 原始列:30
台灣安士克精密股份有限公司,,徐于婷 / 王歆語,2772-3355,,來源:113; 原始列:31
藤倉商事株式會社,,吳豐源Eric,7751-6308,,來源:113; 原始列:32
世雅育樂(股)公司,,嚴翔彬 / 詹佳臻,2771-9878,,來源:113; 原始列:33
集誠資本台灣股份有限公司,,周小姐(窗口) / Kate(財務),2341-1580,,來源:113; 原始列:35
英商萊特再生能源顧問有限公司台灣分公司,,gigi / 陳俊文,,,來源:113; 原始列:36
台灣天域科技股份有限公司,,吳孟娟,7723-8855,,來源:113; 原始列:37
台灣長瀨股份有限公司,,蔡雨璇,2773-3668,,來源:113; 原始列:38
太平洋旅行社股份有限公司,,劉維婷,7713-4919,,來源:113; 原始列:39
台灣亞瑪迪斯(股)公司,,楊小姐,2183-1165,,來源:113; 原始列:40
台灣日鐵物產(股)公司,,劉家芳,2772-1511,,來源:113; 原始列:41
多聯科技股份有限公司,,張芳綾(財務),2709-6010,,來源:113; 原始列:42
台灣保樂力加股份有限公司,,賴瑋彤Alice,8772-0272,,來源:113; 原始列:43
台灣北陸能源發展(股)公司,,陳瑞媛Rena,,,來源:113; 原始列:44
中信投資股份有限公司,,湯鈞驊,2595-3236,,來源:113; 原始列:45
辰亞能源(股)公司,,陳經理Mandy / 曹志康,03-558-8685,,來源:113; 原始列:46
數據立諮詢顧問有限公司,,吳迪 / 蘇栴,2731-5908 / 2731-5900,,來源:113; 原始列:47
台灣泰勒梅高爾夫有限公司,,黃怡萍,2741-5921,,來源:113; 原始列:48
台灣丸紅(股)公司,,李小姐,2173-5603,,來源:113; 原始列:49
臺北市都市更新處,,鄭舒文,2781-5696,,來源:113; 原始列:50
英屬維京群島商華敦國際有限公司台灣分公司,,Iris許,6640-3606,,來源:113; 原始列:53
天獅,,,,,來源:113; 原始列:65
財團法人林堉璘宏泰教育基金會,,,,,來源:113; 原始列:67
英商克雷達投資有限公司台灣分公司,,總機,02-8771-0033,,來源:113; 原始列:68
承租戶,,主要 / 聯絡人,公司電話,,來源:113; 原始列:70
雷格斯企業,,,02-7742-6200,,來源:113; 原始列:71
日商丹下都市建築設計股份有限公司台北辦事處,,蔡棠華,02-6608-9169,,來源:113; 原始列:74
荷屬安地列斯商天獅健康產品有限公司台灣分公司,,許瀞文,02-8772-0385,,來源:113; 原始列:75
東芝記憶體,,葉佳惠,02-2508-9909,,來源:113; 原始列:76
百威旅行社(股)公司,,周建良 / 張瓊文,02-2751-5775,,來源:113; 原始列:79
掌中乾坤網路科技(股)公司,,莊宏義,02-8771-9998,,來源:113; 原始列:80
艾巨科技(股)公司,,吳孟娟,02-7723-8855,,來源:113; 原始列:81
台灣基恩斯(股)公司,,賴怡萱,02-2721-8080,,來源:113; 原始列:82
香港商奧東有限公司台灣分公司,,蘇     荻,02-7709-5179,,來源:113; 原始列:84
美商虹軟,,李婷婷 / 陳政陽,02-2731-1518,,來源:113; 原始列:85
摩昇實業,,林昕霓,02-2752-0336,,來源:113; 原始列:86
香港商勵盈國際股份有限公司台灣分公司,,丘瑾璇,02-2731-7876,,來源:113; 原始列:87
台灣安士克,,陳羿朱(經理),02-2772-3355,,來源:113; 原始列:90
臺北市政府都市發展局,,陳建旺,02-2777-2186,,來源:113; 原始列:96
